湖南衛視﹣和爸爸在一起	https://www.youtube.com/playlist?list=PLUM8x224JrX_vSpepn5lhrTI2n8dtsC4O	
湖南衛視﹣花兒與少年	https://www.youtube.com/playlist?list=PLUM8x224JrX_6TeanMvV__k7WAyGZ_Xvm	已完結
湖南衛視﹣快樂大本營	https://www.youtube.com/playlist?list=PLUM8x224JrX8b9GEQFHUzkUr1ZVbdtpkW	
湖南衛視﹣天天向上	https://www.youtube.com/playlist?list=PLUM8x224JrX_kJm3syb7Fz2zoNP6J-N0N	
江蘇衛視﹣星廚駕到	https://www.youtube.com/playlist?list=PLtFDvh1SGFq9L5cNhc4btLxj023HBjf6X	
江蘇衛視﹣最強天團	https://www.youtube.com/playlist?list=PLtFDvh1SGFq9F2mOYD2j8zfteui84jcH_	
江蘇衛視﹣職來職往	https://www.youtube.com/playlist?list=PLtFDvh1SGFq91dE-HeyXtro648V3VWhfv	
江蘇衛視﹣一站到底	https://www.youtube.com/playlist?list=PLtFDvh1SGFq_27Qqykdokw6nS6QWQ09sf	
江蘇衛視﹣芝麻開門	https://www.youtube.com/playlist?list=PLtFDvh1SGFq_s9tyVQjI9WJZXVPO7COAR	
江西衛視﹣經典傳奇	https://www.youtube.com/playlist?list=PLRm51if9P9g_HQQilXi57_w9ZrxP381qA	
吉林衛視﹣放歌中國	https://www.youtube.com/playlist?list=PLgF14cGcuJa8iWzDvYTeseDlx8g79KlDo	
吉林衛視﹣幸福最美味	https://www.youtube.com/playlist?list=PLgF14cGcuJa_Vzsiykx8Qwc9JttxVn821	
吉林衛視﹣東北亞能見度	https://www.youtube.com/playlist?list=PLgF14cGcuJa-SEo79NcLNu_23zxiQOW8p	
吉林衛視﹣歡樂送	https://www.youtube.com/playlist?list=PLgF14cGcuJa9zuXHKKkatc6ayNzgT1O01	
吉林衛視﹣幸福辭典	https://www.youtube.com/playlist?list=PLgF14cGcuJa93HLMna0T6KRZiuwkroopn	
遼寧衛視﹣中國喜劇力量	https://www.youtube.com/playlist?list=PLPrFTEod5uTLHjZ_x0vgl3c9C2sTykiJ9	
遼寧衛視﹣老梁觀世界	https://www.youtube.com/user/liaoningtvofficial/playlists?flow=grid&view=50&shelf_id=19	
山東衛視﹣養身	https://www.youtube.com/playlist?list=PLlsxr23Q__rYen8wGErjvYzdzJP0hCn1d	
山東衛視﹣道德與法治	https://www.youtube.com/playlist?list=PLlsxr23Q__rbI9RPinu2RozyNwvFuwIHw	
山東衛視﹣調查	https://www.youtube.com/playlist?list=PLlsxr23Q__rY08vYgDXqbJnYwKzOZR7V2	
